start_date,end_date,"station id",lat,lon,elev
2004/10/01,2100/01/01,1061,40.06,-107.01,9080
1979/10/01,2100/01/01,334,39.32,-114.62,9100
1985/10/01,2100/01/01,426,40.17,-107.06,9100
1978/10/01,2100/01/01,480,45.06,-109.94,9100
1985/10/01,2100/01/01,739,37.65,-108.01,9100
2011/07/14,2100/01/01,1172,36.86,-106.23,9100
2010/08/23,2100/01/01,1156,38.5,-112.01,9105
1978/10/01,2100/01/01,310,33.98,-109.5,9125
1979/10/01,2100/01/01,557,38.48,-112.39,9129
1984/10/01,2100/01/01,522,40.91,-109.96,9145
1984/10/01,2100/01/01,528,40.92,-110.19,9150
1979/10/01,2100/01/01,620,44.44,-113.32,9150
1979/10/01,2100/01/01,579,40.86,-110.8,9156
1978/10/01,2100/01/01,408,40.39,-106.6,9160
1979/10/01,2100/01/01,853,37.57,-112.9,9170
1978/10/01,2100/01/01,543,39.89,-110.75,9175
1978/10/01,2100/01/01,444,39.05,-111.47,9182
1979/10/01,2100/01/01,472,44.65,-109.78,9200
1978/10/01,2100/01/01,617,33.92,-109.46,9200
1984/10/01,2100/01/01,669,39.08,-107.14,9200
1979/10/01,2100/01/01,849,39.13,-114.96,9200
2009/10/01,2100/01/01,1143,36.33,-109.06,9200
1978/10/01,2100/01/01,561,37.53,-113.05,9206
1978/10/01,2100/01/01,517,40.8,-110.88,9212
1987/10/01,2100/01/01,814,40.62,-111.53,9230
1979/10/01,2100/01/01,837,44.15,-110.22,9240
1995/09/15,2100/01/01,913,40.23,-106.6,9240
2003/09/25,2100/01/01,1048,33.01,-107.87,9240
1978/10/01,2100/01/01,852,41.16,-106.93,9250
2006/08/21,2100/01/01,1082,43.78,-110.93,9260
1978/10/01,2100/01/01,316,36.51,-106.32,9300
2001/10/01,2100/01/01,1017,36.03,-106.81,9306
2010/10/21,2100/01/01,1163,40.88,-110.54,9308
1998/08/07,2100/01/01,940,40.82,-106.75,9320
2002/08/14,2100/01/01,1033,40.79,-106.6,9340
1978/10/01,2100/01/01,358,44.68,-107.58,9350
2010/08/09,2100/01/01,1170,36.41,-105.33,9350
1979/10/01,2100/01/01,326,44.94,-109.57,9360
2009/09/10,2100/01/01,1133,42.71,-109.41,9360
1978/10/01,2100/01/01,585,43.5,-109.75,9370
1978/10/01,2100/01/01,309,44.8,-107.84,9380
2008/10/01,2100/01/01,1122,40.58,-105.63,9380
1978/10/01,2100/01/01,378,39.88,-107.6,9400
1985/10/01,2100/01/01,409,38.42,-108.38,9400
1979/10/01,2100/01/01,468,43.01,-109.76,9400
1979/10/01,2100/01/01,683,44.73,-109.91,9400
1985/10/01,2100/01/01,709,40.37,-106.74,9400
1979/10/01,2100/01/01,802,39.72,-106.16,9400
1985/10/01,2100/01/01,839,37.72,-107.26,9400
1979/10/01,2100/01/01,544,42.3,-110.68,9425
1978/10/01,2100/01/01,371,39.13,-111.44,9430
1979/10/01,2100/01/01,348,38.68,-111.6,9462
1978/10/01,2100/01/01,703,44.16,-107.13,9480
2002/10/01,2100/01/01,1040,39.6,-106.54,9480
1979/10/01,2100/01/01,322,40.31,-105.64,9500
1979/10/01,2100/01/01,618,39.13,-107.29,9500
1979/10/01,2100/01/01,708,35.92,-106.39,9500
1978/10/01,2100/01/01,643,40.61,-109.89,9510
1978/10/01,2100/01/01,833,40.74,-109.67,9518
1984/10/01,2100/01/01,521,40.95,-110.48,9519
2001/09/19,2100/01/01,926,43.73,-113.83,9520
